IDNum,frag,dmg,spot,def,win
1,1.09,515.88,1.46,1.07,55.65
17,0.99,476.89,1.26,0.82,52.93
33,1.32,607.94,1.54,1.19,55.69
49,0.87,1054.37,1.69,0.91,50.84
81,1.85,245.26,1.18,1.16,58.94
257,1.18,594.16,0.55,1.2,54.69
273,1.05,1003.26,0.08,1.33,50.86
289,1.08,254.04,2.57,1.24,57.36
305,0.59,624.99,2.33,0.65,50.47
321,1.27,297.98,0.91,1.4,58.26
337,1.62,272.13,1.06,1.19,58.39
353,1.45,239.89,1.42,1.3,57.89
513,1.03,1078.07,1.08,0.76,53.61
529,0.99,1105.53,0.99,0.99,53
545,1.63,206.41,2.12,1.24,58.25
561,0.88,1056.54,1.7,0.91,50.94
577,1.58,208.74,1.35,1.46,58.86
593,1.47,249.62,2.58,1.33,59.22
609,1.69,210.57,1.26,2.14,57.63
769,0.88,216.84,2.08,0.97,54.67
785,1.6,270.12,1.88,1.63,59.45
801,1.03,832.58,1.08,0.84,53.68
817,1.05,1395.38,1.33,0.79,53.48
833,1.45,244.93,0.15,1.94,56.07
849,1.3,497.12,0.87,1.58,57.9
865,1.59,267.75,1.69,1.26,58.91
1025,1.51,261.24,2.03,1.22,58.83
1041,1.18,596.91,0.74,1.3,53.86
1057,1.38,645.32,1.53,1.03,57.78
1073,0.97,965.25,1.55,0.95,54
1089,1.04,336.2,1.11,1.22,53.28
1105,1.05,716.81,2.03,0.95,55.08
1121,0.94,942.5,1.04,1.05,51.36
1297,0.89,901.91,1.22,1.19,52.84
1313,1.01,694.97,1.53,1,55.12
1329,1.89,248.37,1.48,1.66,57.72
1345,1.46,241.67,1.4,1.75,59.1
1361,1.08,254.04,2.57,1.24,57.36
1377,0.99,504.72,1.22,1.04,53.92
1537,1.12,421.68,1.29,0.94,57.06
1553,1.06,740.95,0.77,1.19,52.53
1569,0.96,968.43,1.72,1.04,54.49
1585,0.81,1030.29,1.63,0.84,50.32
1601,1.41,234.99,1.12,1.73,56.87
1617,0.99,342.49,0.83,0.83,54.21
1633,1.06,391.46,1.26,1.09,55.66
1793,0.96,1331.05,0.05,0.84,50.67
1809,1.46,469.98,0.61,1.1,56.61
1825,1.47,249.62,2.58,1.33,59.22
1841,0.89,1443.85,1.49,0.68,50.37
1889,1.02,754.66,1.1,1.06,52.19
2049,0.77,287.8,2.32,0.85,55.53
2065,1.48,248.33,2.05,1.47,58.43
2081,1.43,271.67,0.36,2.04,55.86
2097,0.9,1641.4,1.28,0.61,51.28
2113,1.4,706.14,0.1,1.83,55.18
2129,0.97,453.57,1.76,1.1,54.72
2145,1.45,360.18,1.33,1.27,58.77
2305,1.07,1065.66,0.53,0.83,52.92
2321,1.07,793.72,1.24,1.05,54.4
2353,1.67,279.12,1.56,1.38,59.66
2369,1.84,448.23,1.15,1.74,59.83
2385,1.18,299.32,1.05,1.04,56.17
2401,1.34,328.99,1.79,1.47,59.65
2561,1.01,736.47,1.44,0.96,55.13
2577,1.07,662.64,1.25,1.09,53.9
2593,1.01,1780.8,0.74,0.61,50.62
2625,0.94,806.08,0.91,0.78,52.29
2657,0.89,1190.79,1.31,1.03,51.33
2817,1.13,877.58,1.13,0.73,54.71
2833,1.24,402.72,0.17,1.62,57.4
2849,0.83,1291.78,0.83,0.7,50.61
2865,0.91,1301.87,1.14,0.78,52.34
2881,0.69,237.34,0.85,0.88,52.75
2897,1.16,627.62,0.9,1.19,54.88
2913,1.19,427.3,1.82,1.36,57.64
3073,1.1,266.45,1.42,0.99,56.55
3089,1.92,255.55,2.23,1.47,59.4
3105,0.99,342.49,0.83,0.83,54.21
3121,0.93,343.32,2.42,1.04,55.93
3137,1.1,1401.95,0.91,0.99,51.32
3153,0.93,1006.81,0.88,1.1,54.07
3169,1.44,247.06,1.47,1.55,57.59
3329,1.89,246.68,1.43,1.51,58.9
3345,1.54,361.47,1.59,1.35,59.99
3361,1.23,639.23,1.21,1.1,55.55
3377,0.57,636.37,2.53,0.58,51.66
3393,1.36,491.09,0.15,2.11,54.91
3409,0.97,242.75,0.12,1.34,54.27
3425,0.96,1608.01,1.28,0.81,50.53
3585,1.23,873.15,0.8,1.11,54.85
3601,2.02,329.57,1.17,1.65,59.87
3617,1.04,574.82,0.11,1.93,51.16
3633,1.06,1130.42,1.13,0.82,54.1
3649,1.13,1836.44,1.99,0.87,49.12
3665,1.08,835.99,1.01,1.14,53
3681,1.04,1959.25,1.55,0.83,49.72
3841,1.36,251.31,0.12,1.77,53.67
3857,1.06,1097.51,0.74,1.02,52.61
3873,1.09,1229.14,1.14,0.97,54.9
3889,0.54,724.29,2.68,0.56,50.45
3905,1.01,1659.76,0.86,0.78,49.7
3921,0.8,1208,1.1,0.92,51.61
3937,0.9,1872.63,1.1,0.76,49.17
4097,1,1434.11,0.02,0.71,51.18
4113,0.93,865.27,1.57,0.97,52.34
4129,1.03,831.07,0.07,1.36,53.23
4145,0.92,1763.51,1.4,0.67,48.16
4161,1.17,647.76,0.1,2.25,52.46
4193,0.95,1693.29,0.96,0.68,52.7
4353,0.81,1013.21,1.62,0.84,52.58
4369,1,338.4,1.94,0.88,56.2
4385,0.91,1289.14,1.22,0.9,52.57
4401,1.47,364.31,1.37,1.38,59.29
4417,0.94,430.18,2.18,0.99,55.33
4433,0.87,1605.43,1.03,0.68,50.24
4449,1.23,428.95,1.06,1.31,55.42
4609,1.65,280.11,1.39,1.64,59.95
4625,1.12,461.4,0.16,1.67,54.46
4641,1.06,405.68,0.13,1.55,53.69
4657,1.09,508,1.47,1.07,53.83
4673,1.12,1059.99,0.08,1.66,52.31
4689,0.98,753.21,0.77,1.06,53
4705,1.45,360.18,1.33,1.27,58.77
4865,1.21,710.73,0.1,1.68,54.04
4881,1.21,278.97,1.88,1,57.1
4897,1.4,307.18,1.59,1.12,57.89
4913,0.54,392.07,2.67,0.52,51.89
4929,0.7,840.89,2.41,0.64,51.63
4945,0.86,335.41,0.86,1.15,54.7
4961,0.82,1200.74,0.85,0.71,52.35
5121,1.77,293.96,0.47,1.45,58.84
5137,0.85,1244.86,0.99,0.83,50.88
5153,0.82,281.47,2.61,0.93,56.33
5169,0.99,697.96,1.58,0.96,53.06
5185,0.6,589.85,2.08,0.6,51.84
5201,1.84,316.9,1.56,1.57,60.07
5217,1.05,1119.48,0.88,0.77,54.3
5377,0.93,1327.54,1.05,0.75,52.11
5393,0.61,360.69,2.71,0.67,53.57
5409,0.94,430.18,2.18,0.99,55.33
5425,0.85,1781.62,1.3,0.64,48.05
5457,1,927.99,1.74,1.06,53.35
5473,1.06,825.38,0.92,0.8,54.84
5633,1.15,1153.93,0.06,1.3,52.7
5649,1.11,666.74,0.11,1.56,52.84
5665,1.49,257.53,1.74,1.25,59.55
5697,0.96,1413.72,1.33,0.8,49.55
5713,0.91,1592.04,1.26,0.85,51.06
5729,1.19,627.56,0.88,1,54.51
5889,1.05,1119.48,0.88,0.77,54.3
5905,1.15,423.74,0.14,1.68,53.36
5921,0.86,1122.5,1.56,1,51.69
5953,0.98,219.05,0.97,1.48,55.91
5969,0.81,1145.98,1.3,0.9,52.75
5985,1.45,239.89,1.42,1.3,57.89
6145,0.9,1872.63,1.1,0.76,49.17
6161,0.87,325.72,2.74,0.97,57.03
6177,2.06,306.46,1.18,1.46,57.93
6209,1.05,1988.13,0.95,0.84,48.57
6225,0.91,1906.55,1.11,0.68,48.65
6401,1.65,410.86,1,1.55,58.54
6417,0.89,425.58,1.59,0.84,52.93
6433,1.5,362.25,1.33,1.16,58.76
6465,0.6,507.2,2,0.59,51.91
6481,1.03,366.84,1.85,1.06,57
6657,0.94,877.52,1.54,0.99,54.39
6673,1.44,404.96,1.07,1.42,58.85
6721,1.2,647.82,0.88,0.98,54.44
6913,1.56,580.57,1.16,1.49,59.2
6929,0.85,1790.7,0.93,0.69,49.48
6945,1.25,619.16,1.03,1.38,55.75
6977,0.87,1018.88,0.93,0.91,51.75
6993,1.38,301.71,1.03,1.03,56.17
7169,0.85,1787.8,1.23,0.61,49.19
7185,0.93,684.2,1.28,0.83,53.03
7201,1.1,848.77,0.94,1.15,54.78
7233,0.95,1260.77,0.06,1.36,50.41
7249,0.98,1902.72,1.37,0.81,48.83
7425,1.18,1579.21,0.56,0.78,51.65
7441,0.88,1564,0.95,0.63,50.54
7457,1.04,1562.67,0.05,0.87,51.09
7489,0.98,1441.38,0.06,1.13,50.23
7505,1.46,358.16,1.86,1.11,59.94
7681,1.59,597.44,0.12,2.09,58.45
7697,1.08,1482.48,0.62,0.94,50.8
7713,1.53,580.47,1.27,1.55,59.2
7745,2.02,327.61,0.9,1.83,59.1
7761,1.82,311.63,2.2,1.33,61.13
7937,0.93,1439.8,1.76,0.79,51.17
7953,1.07,1827.32,0.64,0.8,50.11
7969,1.01,1296.97,0.06,1.1,51.11
8017,1.63,383.3,0.92,1.64,58.59
8193,1.23,2042.6,0.69,0.81,51.63
8209,0.75,278.85,2.29,0.9,55.51
8225,1,1383,0.51,0.92,50.79
8257,1.49,373.65,1.12,1.75,58.63
8273,1.74,285.84,1.43,1.53,58.47
8449,1,1667.14,0.03,0.7,49.72
8465,0.81,1080.04,1.31,0.88,51.96
8481,0.94,1879.88,0.04,0.7,48.69
8529,1.05,1429.11,0.66,1.16,52.37
8705,1.01,1901.75,0.05,0.88,48.85
8721,0.93,1562.71,0.04,0.62,48.82
8737,1.08,1809.36,0.5,0.66,52.04
8785,1.18,576.79,0.8,1.56,57.3
8961,0.85,787.87,1.53,0.95,53.65
8977,1.02,1302.65,0.05,1.04,50.55
8993,0.89,1460.48,1.61,0.74,50.56
9041,1.31,472.4,1.46,1.55,57.46
9217,1.1,1429.25,1.17,0.83,53.73
9233,0.96,1842.07,0.04,0.62,48.3
9249,1.06,1087.01,0.8,1.11,53.38
9297,1.22,2288.35,0.59,0.57,48.7
9473,0.66,249.08,2.98,0.63,55.06
9489,0.93,1955.85,1.02,0.53,49.85
9505,0.87,1562.49,1.11,0.68,50.14
9553,1.1,816.05,0.69,1.4,56.06
9745,0.91,1604.99,1.07,0.7,50.91
9761,0.68,486.82,2.77,0.75,54.2
9793,1.18,399.74,0.57,0.95,54.5
9809,0.89,696.67,0.42,1.06,52.34
9985,0.97,1241.97,0.91,0.95,50.53
10001,0.62,505.98,2.64,0.56,53.35
10017,1.04,732.39,1.2,1.09,54.25
10049,1.38,696.85,0.91,1.43,55.28
10065,1.17,1231.22,0.69,1.27,56.33
10241,1.03,1033.36,0.84,1.15,53.55
10257,0.89,1490.52,1.42,0.7,50.02
10273,1.31,495.95,1.56,1.61,58.34
10497,1.14,877.22,0.73,0.72,54.8
10513,0.87,1229.33,1.23,0.83,51.21
10529,1.36,666.95,1.76,1.51,57.55
10577,1.36,192.41,0.25,1.4,55.87
10753,0.95,1693.29,0.96,0.68,52.7
10769,0.96,1097.62,0.98,1.03,53.56
10785,0.86,1814.24,1.22,0.73,48.59
10817,0.89,979.53,0.68,0.99,51.41
10833,0.98,358.27,0.1,1.76,53.27
11009,0.82,1200.74,0.85,0.71,52.35
11025,1.04,1066.99,0.52,0.96,50.29
11041,0.94,998.35,0.99,1.12,52.76
11073,0.97,1634.43,0.96,0.85,50.23
11089,1.21,646.79,0.11,1.69,55.37
11265,1.06,825.38,0.92,0.8,54.84
11281,1.48,560.48,1.02,1.55,57.84
11297,1.02,1428.02,0.52,0.95,51.13
11345,0.9,975.94,0.07,1.6,51.35
11521,0.88,1535.7,1.14,0.66,50.3
11537,1.12,1528.84,0.81,0.95,51.2
11553,1.17,887.73,1.46,1.26,55.1
11585,0.94,727.11,0.64,0.99,50.8
11601,0.98,1678.82,0.03,0.79,50.07
11777,1.19,627.56,0.88,1,54.51
11793,1.18,926.68,0.69,1.19,51.8
11809,1.12,908.16,1.76,1.32,53.5
11841,1.11,1885.08,0.07,1.23,49.03
11857,1.11,840.68,0.16,2.09,54.37
12033,0.96,1539.08,0.89,0.84,49.9
